,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
0,63063,tt0064322,movie,The Woman with the Knife,,0,2010,80,"Drama,Thriller"
3,142322,tt0146592,movie,Pál Adrienn,,0,2010,136,Drama
4,149489,tt0154039,movie,So Much for Justice!,,0,2010,100,"Drama,History"
5,157845,tt0162942,movie,Children of the Green Dragon,,0,2010,89,Drama
6,170765,tt0176694,movie,The Tragedy of Man,,0,2011,160,"Animation,Drama,History"
7,181231,tt0187902,movie,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,,0,2011,\N,\N
9,220792,tt0230212,movie,The Final Journey,,0,2010,120,Drama
10,237544,tt0247643,movie,Los pájaros se van con la muerte,,0,2011,110,"Drama,Mystery"
16,298529,tt0311448,movie,Lives No Longer Ours,,0,2011,90,"Drama,Romance"
17,299356,tt0312305,movie,Quantum Quest: A Cassini Space Odyssey,,0,2010,45,"Adventure,Animation,Sci-Fi"
19,310479,tt0323808,movie,The Wicker Tree,,0,2011,96,"Drama,Horror"
20,313181,tt0326592,movie,The Overnight,,0,2010,88,\N
21,313537,tt0326965,movie,In My Sleep,,0,2010,104,"Drama,Mystery,Thriller"
22,317262,tt0330811,movie,Regret Not Speaking,,0,2011,\N,\N
23,317746,tt0331312,movie,This Wretched Life,,0,2010,99,"Comedy,Drama"
24,324171,tt0337882,movie,Blind Sided,,0,2010,\N,"Comedy,Crime,Drama"
29,357539,tt0372538,movie,Spy,,0,2011,110,"Action,Crime,Drama"
31,361016,tt0376136,movie,The Rum Diary,2,0,2011,119,"Comedy,Drama"
32,362808,tt0377981,movie,Gnomeo & Juliet,,0,2011,84,"Adventure,Animation,Comedy"
33,363364,tt0378546,movie,The Payback Man,,0,2010,\N,"Crime,Drama,Thriller"
37,377183,tt0393049,movie,Anderson's Cross,,0,2010,98,"Comedy,Drama,Romance"
39,380126,tt0396123,movie,Den milde smerte,,0,2010,280,Drama
40,382240,tt0398286,movie,Tangled,,0,2010,100,"Adventure,Animation,Comedy"
41,384226,tt0400320,movie,The Connecticut Kid,,0,2011,87,Adventure
42,386735,tt0402887,movie,Capture the Flag,,0,2010,\N,Drama
43,387474,tt0403645,movie,Burnt by the Sun 2,,0,2010,181,"Drama,History,War"
44,390045,tt0406282,movie,Bubbles,,0,2011,80,Drama
46,390929,tt0407194,movie,Seven Fallen Objects,,0,2011,90,"Comedy,Drama"
47,393505,tt0409847,movie,Cowboys & Aliens,,0,2011,119,"Action,Sci-Fi,Thriller"
49,395568,tt0411951,movie,Tekken,,0,2010,87,"Action,Crime,Drama"
50,401073,tt0417610,movie,Asleep in the Sun,,0,2010,83,Fantasy
52,403098,tt0419692,movie,Disconnect,,0,2010,112,"Drama,Mystery,Sci-Fi"
53,406801,tt0423474,movie,Venus & Vegas,,0,2010,95,"Action,Comedy,Crime"
54,409055,tt0425785,movie,El borde del tiempo,,0,2011,100,Drama
56,410393,tt0427152,movie,Dinner for Schmucks,,0,2010,114,Comedy
57,412689,tt0429493,movie,The A-Team,,0,2010,117,"Action,Adventure,Thriller"
59,416127,tt0433035,movie,Real Steel,,0,2011,127,"Action,Drama,Sci-Fi"
60,416474,tt0433397,movie,Satin,,0,2011,84,"Comedy,Drama,Music"
61,418786,tt0435761,movie,Toy Story 3,1,0,2010,103,"Adventure,Animation,Comedy"
62,419241,tt0436230,movie,Mexican Devil,,0,2010,\N,"Horror,Thriller"
63,420446,tt0437462,movie,"Cargo, les hommes perdus.",,0,2010,93,"Adventure,Romance"
64,422649,tt0439724,movie,Moving Target,,0,2011,\N,"Drama,Thriller"
65,422724,tt0439801,movie,Segurança Nacional,,0,2010,86,Action
67,426184,tt0443331,movie,Milenge Milenge,,0,2010,109,"Drama,Romance"
68,427354,tt0444531,movie,Vidas pequeñas,,0,2010,115,Drama
69,427857,tt0445054,movie,7 Days,,0,2010,105,"Crime,Drama,Horror"
70,428811,tt0446029,movie,Scott Pilgrim vs. the World,,0,2010,112,"Action,Comedy,Fantasy"
71,429434,tt0446686,movie,Dream Street,,0,2010,\N,Drama
72,430719,tt0448022,movie,A Bird of the Air,,0,2011,108,"Drama,Romance"
74,431375,tt0448694,movie,Puss in Boots,,0,2011,90,"Adventure,Animation,Comedy"
75,431682,tt0449005,movie,Diary of a Bad Lad,,0,2010,92,"Comedy,Crime"
76,433727,tt0451108,movie,Mad World,,0,2010,98,Drama
77,433768,tt0451154,movie,The Passing,,0,2011,92,Horror
78,436675,tt0454155,movie,El hada buena - Una fábula peronista,,0,2010,85,"Comedy,Drama,Sci-Fi"
79,437902,tt0455407,movie,The Crazies,2,0,2010,101,"Horror,Thriller"
80,440018,tt0457591,movie,Memorias del desarrollo,,0,2010,113,Drama
81,440758,tt0458339,movie,Captain America: The First Avenger,,0,2011,124,"Action,Adventure,Sci-Fi"
82,442152,tt0459748,movie,Generation P,,0,2011,112,"Comedy,Drama,Sci-Fi"
83,443165,tt0460778,movie,Drunkboat,,0,2010,98,Drama
84,443195,tt0460809,movie,The Grasslands,,0,2011,114,Drama
85,443704,tt0461336,movie,Saving Private Perez,,0,2011,105,"Adventure,Comedy,Western"
86,444835,tt0462516,movie,Satan Hates You,,0,2010,94,Horror
87,444853,tt0462536,movie,Silent Alarm,,0,2011,82,"Comedy,Drama,Thriller"
88,445613,tt0463311,movie,Federal,,0,2010,91,"Drama,Thriller"
89,446318,tt0464032,movie,"Guns, Drugs and Dirty Money",,0,2010,123,"Action,Comedy,Crime"
90,446437,tt0464154,movie,Piranha 3D,,0,2010,88,"Comedy,Horror"
91,446445,tt0464162,movie,Komaram Puli,,0,2010,163,"Action,Crime,Thriller"
92,447150,tt0464891,movie,Act Your Age,,0,2011,101,"Comedy,Drama"
93,447871,tt0465637,movie,Taken by Force,,0,2010,90,"Action,Drama"
95,447990,tt0465760,movie,Sensual,,0,2010,99,Drama
96,448759,tt0466553,movie,Golapi Ekhon Bilatey,,0,2010,\N,Musical
98,449088,tt0466893,movie,Margaret,,0,2011,150,Drama
99,451232,tt0469094,movie,Harlem Hostel,,0,2010,81,"Comedy,Drama"
100,451288,tt0469152,movie,Smoking Nonsmoking,,0,2011,84,Drama
101,451294,tt0469158,movie,Platinum Illusions,,0,2011,\N,"Action,Drama"
102,453135,tt0471042,movie,Tower Heist,,0,2011,104,"Action,Comedy,Crime"
103,454248,tt0472181,movie,The Smurfs,,0,2011,103,"Adventure,Animation,Comedy"
104,454462,tt0472399,movie,The Mechanic,,0,2011,93,"Action,Thriller"
105,455116,tt0473075,movie,Prince of Persia: The Sands of Time,,0,2010,116,"Action,Adventure,Fantasy"
106,455127,tt0473088,movie,Stan,,0,2011,\N,Comedy
107,455159,tt0473122,movie,Bamboo Shark,,0,2011,\N,Comedy
108,455374,tt0473343,movie,Cielito lindo,,0,2010,91,"Drama,Thriller"
109,457937,tt0475983,movie,The Deafening Silence of a Very Bright Light,,0,2010,92,Drama
110,457974,tt0476023,movie,Stiffs,,0,2010,104,Comedy
