,Unnamed: 0,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
0,16664,tt0016906,movie,Frivolinas,,0,2014,80,"Comedy,Musical"
2,67690,tt0069049,movie,The Other Side of the Wind,,0,2018,122,Drama
5,98083,tt0100275,movie,The Wandering Soap Opera,,0,2017,80,"Comedy,Drama,Fantasy"
6,109007,tt0111414,movie,A Thin Life,,0,2018,75,Comedy
7,110064,tt0112502,movie,Bigfoot,,0,2017,\N,"Horror,Thriller"
8,114404,tt0116991,movie,Mariette in Ecstasy,,0,2019,\N,Drama
11,133425,tt0137204,movie,Joe Finds Grace,,0,2017,83,"Adventure,Animation,Comedy"
19,185525,tt0192528,movie,Heaven & Hell,,0,2018,104,Drama
29,264773,tt0276132,movie,The Fetishist,,0,2019,\N,Animation
30,265172,tt0276568,movie,To Chase a Million,,0,2018,97,"Action,Drama"
31,267971,tt0279481,movie,Travel Daze,,0,2019,\N,\N
32,271788,tt0283440,movie,Short Time Heroes,,0,2015,45,Sci-Fi
33,285118,tt0297400,movie,Snowblind,,0,2015,\N,"Crime,Drama"
37,292612,tt0305295,movie,Bich bozhiy,,0,2019,88,Drama
38,302576,tt0315642,movie,Wazir,,0,2016,103,"Action,Crime,Drama"
39,313298,tt0326716,movie,5/25/1977,,0,2017,113,"Comedy,Drama"
40,315313,tt0328810,movie,My Land,,0,2018,102,"Drama,Family"
41,316027,tt0329539,movie,Rice Girl,,0,2014,95,"Adventure,Comedy,Family"
43,317748,tt0331314,movie,Bunyan and Babe,,0,2017,84,"Adventure,Animation,Comedy"
44,324211,tt0337926,movie,Chatô - The King of Brazil,,0,2015,102,"Biography,Drama"
46,324525,tt0338258,movie,Instruments of Darkness,,0,2014,\N,"Action,Drama,Fantasy"
47,325947,tt0339736,movie,The Evil Within,,0,2017,98,Horror
49,331814,tt0346045,movie,Transeúntes,,0,2015,101,"Comedy,Drama"
50,345990,tt0360556,movie,Fahrenheit 451,,0,2018,100,"Drama,Sci-Fi,Thriller"
51,349514,tt0364201,movie,Aman Ke Farishtey,,0,2016,137,Action
52,350809,tt0365545,movie,Nappily Ever After,,0,2018,98,"Comedy,Drama,Romance"
53,351150,tt0365907,movie,A Walk Among the Tombstones,,0,2014,114,"Action,Crime,Drama"
54,354709,tt0369610,movie,Jurassic World,,0,2015,124,"Action,Adventure,Sci-Fi"
56,361349,tt0376479,movie,American Pastoral,,0,2016,108,"Crime,Drama"
59,370196,tt0385887,movie,Motherless Brooklyn,,0,2019,144,"Crime,Drama,Mystery"
62,387756,tt0403935,movie,Action Jackson,,0,2014,144,"Action,Thriller"
64,403685,tt0420293,movie,The Stanford Prison Experiment,,0,2015,122,"Biography,Drama,History"
66,408159,tt0424859,movie,The Ninth Cloud,,0,2014,93,Drama
67,410780,tt0427543,movie,A Million Little Pieces,,0,2018,113,Drama
69,415136,tt0432010,movie,The Queen of Sheba Meets the Atom Man,,0,2018,110,Comedy
70,418681,tt0435651,movie,The Giver,,0,2014,97,"Drama,Romance,Sci-Fi"
71,420075,tt0437086,movie,Alita: Battle Angel,,0,2019,122,"Action,Adventure,Sci-Fi"
72,424761,tt0441881,movie,Danger Close,,0,2019,118,"Action,Drama,War"
73,426316,tt0443465,movie,Before We Go,,0,2014,95,"Comedy,Drama,Romance"
