,Unnamed: 0,Unnamed: 0.1,tconst,titleType,primaryTitle,Like,isAdult,startYear,runtimeMinutes,genres
37,47,347139,tt0361748,movie,Inglourious Basterds,1.0,0,2009,153,"Adventure,Drama,War"
41,51,350265,tt0364970,movie,Babylon A.D.,2.0,0,2008,90,"Action,Adventure,Sci-Fi"
51,62,356773,tt0371746,movie,Iron Man,1.0,0,2008,126,"Action,Adventure,Sci-Fi"
89,110,393126,tt0409459,movie,Watchmen,2.0,0,2009,162,"Action,Drama,Mystery"
107,132,401201,tt0417741,movie,Harry Potter and the Half-Blood Prince,1.0,0,2009,153,"Action,Adventure,Family"
116,144,408357,tt0425061,movie,Get Smart,1.0,0,2008,110,"Action,Adventure,Comedy"
122,151,409844,tt0426592,movie,Superhero Movie,2.0,0,2008,75,"Action,Comedy,Sci-Fi"
131,160,414084,tt0430922,movie,Role Models,2.0,0,2008,99,Comedy
136,166,416440,tt0433362,movie,Daybreakers,2.0,0,2009,98,"Action,Fantasy,Horror"
150,180,421439,tt0438488,movie,Terminator Salvation,1.0,0,2009,115,"Action,Adventure,Sci-Fi"
156,186,424657,tt0441773,movie,Kung Fu Panda,1.0,0,2008,92,"Action,Adventure,Animation"
159,189,426128,tt0443274,movie,Vantage Point,1.0,0,2008,90,"Action,Crime,Drama"
165,195,426485,tt0443649,movie,"10,000 BC",2.0,0,2008,109,"Action,Adventure,Drama"
182,216,430850,tt0448157,movie,Hancock,2.0,0,2008,92,"Action,Fantasy"
189,223,432641,tt0449994,movie,Jodhaa Akbar,2.0,0,2008,213,"Action,Drama,History"
199,233,435187,tt0452608,movie,Death Race,1.0,0,2008,105,"Action,Sci-Fi,Thriller"
215,254,438307,tt0455824,movie,Australia,2.0,0,2008,165,"Adventure,Comedy,Drama"
226,268,440939,tt0458525,movie,X-Men Origins: Wolverine,1.0,0,2009,107,"Action,Adventure,Sci-Fi"
257,303,449383,tt0467197,movie,Max Payne,2.0,0,2008,100,"Action,Crime,Drama"
263,309,450719,tt0468569,movie,The Dark Knight,1.0,0,2008,152,"Action,Crime,Drama"
